order,a_x,a_y,b_x,b_y,Ei,Fi,Li
1,2725,2200,1925,2062.5,0,20,30
2,1575,2587.5,1787.5,412.5,0,20,30
3,1650,1512.5,1837.5,2362.5,0,20,30
4,637.5,1012.5,1262.5,2075,0,20,30
5,1425,1887.5,1687.5,1650,0,25,35
6,1262.5,2137.5,2000,2350,0,30,40
7,875,1125,1612.5,2250,0,30,40
8,2425,1450,1487.5,2225,0,30,40
9,1375,1850,2350,2600,0,30,40
10,1375,1850,1837.5,2362.5,0,30,40
11,2087.5,1250,1862.5,1425,0,40,50
12,1450,2700,2400,2375,0,40,50
13,2187.5,625,1437.5,1362.5,0,40,50
14,2800,2325,1925,1887.5,10,35,45
15,2650,2225,2250,2175,10,35,45
16,2825,2425,2012.5,1750,10,35,45
17,887.5,1137.5,1825,2050,10,35,45
18,1675,325,2350,1725,20,60,70
19,1512.5,1362.5,1462.5,2387.5,20,60,70
20,2625,2262.5,1800,1050,20,60,70
21,2625,2262.5,1687.5,1650,20,60,70
22,912.5,687.5,2175,737.5,20,60,70
23,1925,2062.5,2725,2200,0,40,50
24,1787.5,412.5,575,587.5,0,30,40
25,1837.5,2362.5,1650,1512.5,0,30,40
26,1262.5,2075,637.5,1012.5,0,30,40
27,1687.5,1650,1425,1887.5,0,35,45
28,2000,2350,1262.5,2637.5,0,30,40
29,1612.5,2250,875,1125,0,30,40
30,1487.5,2225,725,1450,0,30,40
31,2350,2600,1375,1850,0,30,40
32,1837.5,2362.5,1375,1850,0,30,40
33,1862.5,1425,2087.5,1250,0,40,50
34,2400,2375,1450,2700,0,40,50
35,1437.5,1362.5,2187.5,625,0,40,50
36,1925,1887.5,2800,2325,10,35,45
37,2250,1475,2650,2225,10,35,45
38,2012.5,1750,2825,2425,10,35,45
39,1825,2050,887.5,1137.5,10,35,45
40,2350,725,1675,1325,20,60,70
41,912.5,1587.5,2180,600,0,40,50